"PlayerNames","stateData","points","Pre_performanceRating","opp_rating_avg"
"GARY HUA","ON","6.0","1794",1605.28571428571
"DAKSHESH DARURI","MI","6.0","1553",1469.28571428571
"ADITYA BAJAJ","MI","6.0","1384",1563.57142857143
"PATRICK H","MI","5.5","1716",1573.57142857143
"HANSHI ZUO","MI","5.5","1655",1500.85714285714
"HANSEN SONG","OH","5.0","1686",1518.71428571429
"GARY DEE","MI","5.0","1649",1372.14285714286
"EZEKIEL HOUGHTON","MI","5.0","1641",1468.42857142857
"STEFANO LEE","ON","5.0","1411",1523.14285714286
"ANVIT RAO","MI","5.0","1365",1554.14285714286
"CAMERON WILLIAM","MI","4.5","1712",1467.57142857143
"KENNETH J","MI","4.5","1663",1484.57142857143
"TORRANCE HENRY","MI","4.5","1666",1485.71428571429
"BRADLEY SHAW","MI","4.5","1610",1557
"ZACHARY JAMES","MI","4.5","1220",1455.42857142857
"MIKE NIKITIN","MI","4.0","1604",1418.28571428571
"RONALD GRZEGORCZYK","MI","4.0","1629",1527.57142857143
"DAVID SUNDEEN","MI","4.0","1600",1330.42857142857
"DIPANKAR ROY","MI","4.0","1564",1495.14285714286
"JASON ZHENG","MI","4.0","1595",1473.28571428571
"DINH DANG","ON","4.0","1563",1351.28571428571
"EUGENE L","MI","4.0","1555",1386.85714285714
"ALAN BUI","ON","4.0","1363",1269
"MICHAEL R","MI","4.0","1229",1288.42857142857
"LOREN SCHWIEBERT","MI","3.5","1745",1444.28571428571
"MAX ZHU","ON","3.5","1579",1228.28571428571
"GAURAV GIDWANI","MI","3.5","1552",1565
"SOFIA ADINA","MI","3.5","1507",1356.42857142857
"CHIEDOZIE OKORIE","MI","3.5","1602",1190.71428571429
"GEORGE AVERY","ON","3.5","1522",1180.71428571429
"RISHI SHETTY","MI","3.5","1494",1370.71428571429
"JOSHUA PHILIP","ON","3.5","1441",1370.42857142857
"JADE GE","MI","3.5","1449",1386.14285714286
"MICHAEL JEFFERY","MI","3.5","1399",1085.85714285714
"JOSHUA DAVID","MI","3.5","1438",1387.28571428571
"SIDDHARTH JHA","MI","3.5","1355",1439.14285714286
"AMIYATOSH PWNANANDAM","MI","3.5"," 980",1499.57142857143
"BRIAN LIU","MI","3.0","1423",1457.85714285714
"JOEL R","MI","3.0","1436",1217.57142857143
"FOREST ZHANG","MI","3.0","1348",1213
"KYLE WILLIAM","MI","3.0","1403",1101.85714285714
"JARED GE","MI","3.0","1332",1306.85714285714
"ROBERT GLEN","MI","3.0","1283",1152
"JUSTIN D","MI","3.0","1199",1357.71428571429
"DEREK YAN","MI","3.0","1242",1392
"JACOB ALEXANDER","MI","3.0"," 377",1421.85714285714
"ERIC WRIGHT","MI","2.5","1362",1145
"DANIEL KHAIN","MI","2.5","1382",1385.42857142857
"MICHAEL J","MI","2.5","1291",1490.85714285714
"SHIVAM JHA","MI","2.5","1056",1417
"TEJAS AYYAGARI","MI","2.5","1011",1225.71428571429
"ETHAN GUO","MI","2.5"," 935",1398.14285714286
"JOSE C","MI","2.0","1393",1358.57142857143
"LARRY HODGE","MI","2.0","1270",1392.71428571429
"ALEX KONG","MI","2.0","1186",1337
"MARISA RICCI","MI","2.0","1153",1322.85714285714
"MICHAEL LU","MI","2.0","1092",1320.85714285714
"VIRAJ MOHILE","MI","2.0"," 917",1252
"SEAN M","MI","2.0"," 853",1494.28571428571
"JULIA SHEN","MI","1.5"," 967",1488.57142857143
"JEZZEL FARKAS","ON","1.5"," 955",1551.42857142857
"ASHWIN BALAJI","MI","1.0","1530",1569.42857142857
"THOMAS JOSEPH","MI","1.0","1175",1517.85714285714
"BEN LI","MI","1.0","1163",1536.42857142857
